title_english
Stir-fried Celtuce with Minced Garlic
Pineapple Oolong Tea with Konjaku Jelly
Mixed Shredded Chicken with Steamed Rice Roll
Iberico Pork Rack
Pork Balls with Instant Noodles Set
Sliced Pork and Vegetables with Rice
""
Corn and Meat Small Wonton (Raw) (24 pcs)
203. Deep-fried Shrimp Cakes
Wagyu Beef Burger
Jelly Fish Salad with Vinegar and Yuzu Dressing
9008. Stir-fried Mushroom with Cashew Nuts Served with Rice
Tofu with Salted Fish and Chicken in Casserole
Tieguanyin Milk Tea with Brown Sugar Pearls
Chicken Fillet with Rice
Minced Pork with Eggplant and Grouper Fillet with Rice
Lipton Milk Tea
BBQ Pork with Vermicelli in Soup (Small)
"Chicken, Bacon & Egg Sandwich"
Dumpling In Broth
Pepper and Black Bean Sauce Pork Ribs
Lemongrass Pork with Banh Hoi Fine Rice Noodles
Fajitas
Lemongrass Chicken Wings (5 pcs)
Imitation Crab Stick Sushi
Spicy Curry Homemade Cheese Pork Chop Cutlet with Handmade Udon
L62. Japanese Style Beef Udon Set
Grilled Shrimp on the Barbie (6 pcs)
K33. Roasted BBQ Pork with Scrambled Egg
Pork and Vegetable Wonton Noodle Soup
